City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
3,Rikitea,PF,77.92,clear sky,-23.1203,-134.9692,People ThankYou
6,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
9,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
11,Hermanus,ZA,75.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
21,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Namatanai,PG,79.66,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
24,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
30,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
32,Pisco,PE,75.25,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
33,Kruisfontein,ZA,73.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
36,Perdoes,BR,79.61,broken clouds,-21.0908,-45.0914,Talismã Motel
37,Bredasdorp,ZA,73.27,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
42,San Policarpo,PH,76.06,overcast clouds,12.1791,125.5072,Agapita M. Nicart
45,Luanda,AO,76.71,overcast clouds,-8.8368,13.2343,Hotel Fórum
47,Tecoanapa,MX,84.06,clear sky,16.5167,-98.75,Hotel Manglares
48,San Pedro,PH,74.43,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
49,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
53,Sao Joao Da Barra,BR,84.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
54,Kulim,MY,78.49,scattered clouds,5.365,100.5618,Hotel Kulim
55,Bria,CF,80.98,few clouds,6.5423,21.9863,WFP Guesthouse
56,Atuona,PF,76.75,light rain,-9.8,-139.0333,Villa Enata
59,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
61,Bengkulu,ID,74.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Akyab,MM,72.52,overcast clouds,20.15,92.9,Hotel Memory
69,Hambantota,LK,76.5,broken clouds,6.1241,81.1185,Bungalow 63
71,Bucerias,MX,78.78,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
73,Honiara,SB,76.93,overcast clouds,-9.4333,159.95,Heritage Park Hotel
74,Kapaa,US,76.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
