,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,0,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,100,6.22,overcast clouds
1,1,Yellowknife,CA,62.456,-114.3525,12.42,99,75,5.75,light snow
2,2,Roanoke Rapids,US,36.4615,-77.6542,53.24,62,75,17.27,broken clouds
3,3,Rikitea,PF,-23.1203,-134.9692,77.92,77,5,21.92,clear sky
4,4,Geraldton,AU,-28.7667,114.6,68.41,83,100,10.36,overcast clouds
5,5,Punta Arenas,CL,-53.15,-70.9167,53.71,47,40,17.27,light rain
6,6,Butaritari,KI,3.0707,172.7902,81.63,81,64,16.91,light rain
7,7,Bluff,NZ,-46.6,168.3333,49.8,79,27,5.97,scattered clouds
8,8,Sitka,US,57.0531,-135.33,46.29,71,100,20.71,light rain
9,9,Vila Velha,BR,-20.3297,-40.2925,82.35,71,0,1.01,clear sky
10,10,Nikolskoye,RU,59.7035,30.7861,32.88,81,86,14.38,overcast clouds
11,11,Hermanus,ZA,-34.4187,19.2345,75.9,74,100,9.15,overcast clouds
12,12,Ushuaia,AR,-54.8,-68.3,49.62,49,75,16.11,broken clouds
13,13,Ust-Tsilma,RU,65.441,52.1498,13.33,93,99,7.07,overcast clouds
14,14,Steamboat Springs,US,40.485,-106.8317,33.51,82,100,0.0,overcast clouds
15,15,Areosa,PT,41.7178,-8.8571,51.91,63,97,5.28,overcast clouds
16,16,Pacific Grove,US,36.6177,-121.9166,64.38,63,0,1.99,clear sky
17,17,Busselton,AU,-33.65,115.3333,54.09,91,4,4.61,clear sky
18,18,Tiarei,PF,-17.5333,-149.3333,75.22,85,100,29.59,light rain
19,19,Albany,US,42.6001,-73.9662,30.36,71,100,4.0,overcast clouds
20,20,Warrington,GB,53.3925,-2.5802,40.15,93,0,1.01,clear sky
21,21,Hilo,US,19.7297,-155.09,78.53,72,75,4.61,broken clouds
22,22,Opochka,RU,56.7105,28.6617,31.59,79,100,15.39,overcast clouds
23,23,Namatanai,PG,-3.6667,152.4333,79.66,82,93,3.33,overcast clouds
24,24,Vaini,TO,-21.2,-175.2,82.56,89,75,11.5,broken clouds
25,25,Kodiak,US,57.79,-152.4072,31.51,86,0,5.75,clear sky
26,26,Ostrovnoy,RU,68.0531,39.5131,27.88,91,100,34.43,light snow
27,27,Ucluelet,CA,48.9329,-125.5528,49.08,92,100,1.01,overcast clouds
28,28,Cherskiy,RU,68.75,161.3,-38.33,100,95,4.18,overcast clouds
29,29,Bambous Virieux,MU,-20.3428,57.7575,81.21,94,75,4.61,light rain
30,30,Mahebourg,MU,-20.4081,57.7,81.25,94,75,4.61,broken clouds
31,31,Mataura,NZ,-46.1927,168.8643,49.48,67,13,2.51,few clouds
32,32,Pisco,PE,-13.7,-76.2167,75.25,73,75,8.05,broken clouds
33,33,Kruisfontein,ZA,-34.0033,24.7314,73.89,87,99,14.85,overcast clouds
34,34,Ponta Do Sol,PT,32.6667,-17.1,65.71,53,19,8.9,few clouds
35,35,Victoria,HK,22.2855,114.1577,64.45,88,100,5.99,overcast clouds
36,36,Perdoes,BR,-21.0908,-45.0914,79.61,73,67,3.18,broken clouds
37,37,Bredasdorp,ZA,-34.5322,20.0403,73.27,88,83,13.8,broken clouds
38,38,Vardo,NO,70.3705,31.1107,30.18,74,75,32.21,broken clouds
39,39,Talnakh,RU,69.4865,88.3972,6.21,94,100,17.36,light snow
40,40,Warmbad,,-28.45,18.7333,79.05,60,98,11.86,light rain
41,41,Duma,CN,34.7653,108.135,19.42,43,99,4.56,overcast clouds
42,42,San Policarpo,PH,12.1791,125.5072,76.06,75,100,14.5,overcast clouds
43,43,Namibe,AO,-15.1961,12.1522,69.03,76,87,9.04,overcast clouds
44,44,Ribeira Grande,PT,38.5167,-28.7,59.4,72,75,17.27,broken clouds
45,45,Luanda,AO,-8.8368,13.2343,76.71,80,100,7.65,overcast clouds
46,46,San Ramon,US,37.7799,-121.978,64.04,54,0,3.0,clear sky
47,47,Tecoanapa,MX,16.5167,-98.75,84.06,61,0,10.76,clear sky
48,48,San Pedro,PH,14.35,121.0167,74.43,78,75,3.44,broken clouds
49,49,Georgetown,MY,5.4112,100.3354,78.89,66,20,6.91,few clouds
50,50,Adre,TD,13.4667,22.2,76.33,19,3,9.46,clear sky
51,51,Mao,ES,39.8885,4.2658,43.36,75,20,0.0,few clouds
52,52,Salekhard,RU,66.53,66.6019,15.98,93,100,18.14,light snow
53,53,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,82,60,8.75,broken clouds
54,54,Kulim,MY,5.365,100.5618,78.49,75,42,3.89,scattered clouds
55,55,Bria,CF,6.5423,21.9863,80.98,36,15,4.5,few clouds
56,56,Atuona,PF,-9.8,-139.0333,76.75,83,100,18.54,light rain
57,57,Tezu,IN,27.9167,96.1667,55.81,62,100,3.67,overcast clouds
58,58,Vincennes,FR,48.85,2.4333,40.89,87,0,2.3,clear sky
59,59,Saint-Joseph,RE,-21.3667,55.6167,75.58,80,100,2.71,overcast clouds
60,60,Korla,CN,41.7597,86.1469,21.85,61,0,3.18,clear sky
61,61,Bengkulu,ID,-3.8004,102.2655,74.39,88,100,4.12,overcast clouds
62,62,Iqaluit,CA,63.7506,-68.5145,-20.31,68,100,18.99,overcast clouds
63,63,Camacha,PT,33.0833,-16.3333,62.02,82,20,11.5,few clouds
64,64,Sabha,LY,27.0377,14.4283,48.13,45,1,4.25,clear sky
